Institution Name,City,State,Size: Annual Unduplicated Headcount,Percent Part-Time,Percent Non-Traditional Age (25 and Older),Percent Minority,Percent of First-Time Undergrads who are Full-Time,First-Year Retention Rate,Three-Year Graduation Rate,Credentials Awarded per 100 FTE Students,"Percent of Undergrads Receiving Pell, 2011-12","latitude,longitude"
Brevard Community College,Cocoa,FL,24527,62.3,35.8,21.5,64.4,63.9,55.5,45.5,38.4,"28.355109,-80.741078"
Broward College,Fort Lauderdale,FL,62796,67.1,36.5,64.5,48.9,66.3,43,37.5,52.2,"26.121219,-80.143252"
Chipola College,Marianna,FL,2997,56.7,29.8,19.8,77.7,62.2,61.2,52.6,44.2,"30.787471,-85.232783"
College of Central Florida,Ocala,FL,11806,59,40.8,22.9,64.6,62.7,49.4,36,55.7,"29.166001,-82.178538"
Daytona State College,Daytona Beach,FL,22859,54.9,44.4,24.9,72.7,60.4,40.2,44.7,50.1,"29.201427,-81.046657"
Edison State College,Fort Myers,FL,23727,65.9,37.9,32.9,58,59.1,41.2,39.4,42.5,"26.555523,-81.887965"
Florida Gateway College,Lake City,FL,4577,63.5,38.2,15.2,64.5,51.4,52.1,37.8,45.1,"30.174902,-82.568625"
Florida Keys Community College,Key West,FL,1963,65.9,42.7,26.9,57.6,46.7,47.4,37.3,33.3,"24.583428,-81.744218"
Florida State College at Jacksonville,Jacksonville,FL,51309,65.1,46.1,34.3,52.7,53,39.5,47.3,44.1,"30.429181,-81.718191"
Gulf Coast State College,Panama City,FL,10291,62.5,43.6,18.6,63.3,61.3,43.2,37.8,42.6,"30.186294,-85.726452"
Hillsborough Community College,Tampa,FL,40106,58,39,43.4,63.7,58.2,43.4,32.4,47.1,"27.977076,-82.509112"
Indian River State College,Fort Pierce,FL,25574,64.8,40,32.3,62.5,60.7,48.4,43,39.8,"27.42327,-80.357924"
Lake-Sumter Community College,Leesburg,FL,6638,66.4,27.5,23.1,54.3,57.4,55.5,40.9,30.2,"28.829243,-81.797152"
Miami Dade College,Miami,FL,100855,58.3,35.9,85.7,70.1,61.5,36.7,39.7,55.6,"25.77759,-80.191225"
North Florida Community College,Madison,FL,1867,59,30.7,28.9,67.9,59.7,55.9,42,57.2,"30.475931,-83.422996"
Northwest Florida State College,Niceville,FL,11254,63,46.4,17.5,62.8,56.1,46.5,53.5,31.1,"30.539416,-86.475644"
Palm Beach State College,Lake Worth,FL,43413,63,32.8,47.9,59.2,64.3,42.8,39,47.9,"26.612999,-80.085896"
Pasco-Hernando Community College,New Port Richey,FL,15519,59.9,35.4,19.3,63.1,60.1,46.1,40.4,46.5,"28.276373,-82.63754"
Pensacola State College,Pensacola,FL,17691,58.4,40.6,22.8,64.4,61.1,38.3,42.5,38.9,"30.480597,-87.202266"
Polk State College,Winter Haven,FL,16397,66.1,37.2,34.4,55.6,56.7,44.9,38.9,41.6,"28.032545,-81.715105"
Saint Johns River State College,Palatka,FL,9535,61.3,36.4,15.3,64.7,62.1,52.5,33.6,44.4,"29.644832,-81.681588"
Santa Fe College,Gainesville,FL,21809,58.2,29.7,19.7,47.4,63.1,61.6,47.7,36.6,"29.680926,-82.433845"
Seminole State College of Florida,Sanford,FL,27663,58.5,43.1,40,67,61.3,44.7,35.2,51.1,"28.745092,-81.305622"
South Florida Community College,Avon Park,FL,4011,61.2,26.5,37.9,63.2,56.6,54.3,42.5,46.8,"27.570013,-81.511692"
State College of Florida-Manatee-Sarasota,Bradenton,FL,16630,56.8,39.1,22,65.6,59.8,45.9,36.5,47.1,"27.406103,-82.455034"
Tallahassee Community College,Tallahassee,FL,21646,51,27.6,44.1,73.3,55.8,56.2,49.8,45.4,"30.442171,-84.339879"
Valencia College,Orlando,FL,60469,58.3,33.2,48.1,69.8,67,52.2,45.9,46.5,"28.522149,-81.464103"
Abraham Baldwin Agricultural College,Tifton,GA,3935,31,20.1,23.8,94.5,57.6,44.6,37.3,51.1,"31.489239,-83.529674"
Albany Technical College,Albany,GA,6676,39.5,63.1,80.3,59.2,55.8,43.8,29.1,89.7,"31.553609,-84.174506"
Altamaha Technical College,Jesup,GA,2110,71.7,56.3,32.6,26.7,51.8,57.5,17.2,64.8,"31.621797,-81.910511"
Athens Technical College,Athens,GA,6922,69.5,50.2,28.5,44,51,26.2,27,63.9,"33.989476,-83.339863"
Atlanta Metropolitan College,Atlanta,GA,4367,42.5,41.8,92.9,67,53.1,19.4,22.5,71.4,"33.709873,-84.407961"
Atlanta Technical College,Atlanta,GA,7094,67.4,62.8,94.6,29.1,47.4,28.2,21.3,76.3,"33.71177,-84.407793"
Augusta Technical College,Augusta,GA,6257,63.7,53.3,55.3,41.6,47.9,40.6,30.3,68.1,"33.417862,-82.048205"
Bainbridge College,Bainbridge,GA,5316,46.3,55.1,60.2,66.9,54.3,24.6,16.2,85.9,"30.899687,-84.534014"
Central Georgia Technical College,Macon,GA,8672,55.5,60.7,64.6,58.5,43.8,22.6,17.8,80.6,"32.810093,-83.69168"
Chattahoochee Technical College,Marietta,GA,16875,67.7,49.3,39.3,48,46.4,16.3,16.8,59,"33.9294,-84.553468"
College of Coastal Georgia,Brunswick,GA,4412,43,38.2,19.8,83.8,76.3,31.8,25.4,58.4,"31.184045,-81.48474"
Columbus Technical College,Columbus,GA,5555,69.6,51.1,54,38.4,44.5,18.5,26.4,71,"32.508106,-84.978495"
Darton College,Albany,GA,8559,50.6,50.6,44.2,82,46.5,49.6,29.1,52.9,"31.584113,-84.212939"
East Georgia College,Swainsboro,GA,4533,20.2,13.4,49.6,90.7,54.4,39.7,11.5,96.1,"32.59515,-82.307707"
Gainesville State College,Oakwood,GA,11474,39,20.4,15.3,83,68.8,45.6,25.5,41.9,"34.240333,-83.863707"
Georgia Highlands College,Rome,GA,7603,46.3,26.9,23.9,79.3,58.5,33,25.2,49.8,"34.169809,-85.207529"
Georgia Northwestern Technical College,Rome,GA,8778,61,52.6,18.1,46.7,46.7,28.3,27.8,72.9,"34.223179,-85.174506"
Georgia Perimeter College,Decatur,GA,39791,56.5,38.3,51.8,63.9,55.3,26.7,18.8,51.1,"33.68852,-84.274625"
Georgia Piedmont Technical College,Clarkston,GA,6148,73.5,64.7,78.5,23.3,41.3,29,20.1,75.9,"33.78989,-84.234476"
Gordon College,Barnesville,GA,5761,31.4,21,45,93.6,100,42.5,26.6,61.4,"33.047455,-84.150109"
Gwinnett Technical College,Lawrenceville,GA,9474,62.2,59.9,45,58.5,50.1,27.5,28.6,53.2,"33.963889,-84.067615"
Lanier Technical College,Oakwood,GA,5102,73.9,57.6,21,37.3,52.7,34.6,29.7,52.7,"34.235763,-83.864036"
Middle Georgia College,Cochran,GA,4379,31,25.5,41.4,92.7,66.7,48.1,26.9,61.9,"32.380789,-83.348002"
Middle Georgia Technical College,Warner Robins,GA,5583,64.8,54.4,45.2,26.7,55.2,48,19.1,55.5,"32.31705,-83.51026"
Moultrie Technical College,Moultrie,GA,2970,57.4,43.8,41.6,60.6,48.4,40.9,24.1,68.7,"31.198373,-83.765724"
North Georgia Technical College,Clarkesville,GA,3478,55,44.8,10.1,59.9,53.6,44.7,24.5,71.6,"34.63898,-83.529181"
Oconee Fall Line Technical College,Sandersville,GA,2790,66.4,51,52.6,43.2,41.4,50.6,27.5,69.5,"32.99668,-82.83944"
Ogeechee Technical College,Statesboro,GA,3261,58.1,45.2,40.5,41.7,50.5,36.3,30.7,72.9,"32.394824,-81.818542"
Okefenokee Technical College,Waycross,GA,2011,67.8,49.9,27.6,33.3,44.1,42.2,26.2,77.5,"31.213551,-82.354018"
Savannah Technical College,Savannah,GA,7354,64.7,53.4,53.9,32.3,42.8,30.2,16.5,66.2,"32.023751,-81.114781"
South Georgia College,Douglas,GA,2924,21.7,17.9,46.1,95.2,48,40.7,25,72.3,"31.497715,-82.854508"
South Georgia Technical College,Americus,GA,3215,51.6,46,59.8,59.9,45.9,38.3,28.2,74.4,"32.117728,-84.192116"
Southeastern Technical College,Vidalia,GA,2458,68.5,46.7,36.6,40.4,46,37.4,21.7,75.2,"32.203942,-82.365857"
Southern Crescent Technical College,Griffin,GA,7609,60.1,53.2,46.5,50.1,47.9,34.6,24.2,67.8,"33.254935,-84.290079"
Southwest Georgia Technical College,Thomasville,GA,2406,77,49.1,38.2,34.7,48.2,32.3,36.7,63.5,"30.836645,-83.997369"
Waycross College,Waycross,GA,1458,55.2,32.5,24.4,69.3,50.8,43.5,24.6,50.9,"31.207247,-82.388958"
West Georgia Technical College,Waco,GA,10246,71.6,48.8,33.9,30.2,45.6,27.7,17.9,58.4,"33.691629,-85.183466"
Wiregrass Georgia Technical College,Valdosta,GA,6758,58.2,52.5,39.3,44.7,43.6,34.2,20,79.2,"30.889577,-83.352984"
Hawaii Community College,Hilo,HI,4832,52.5,40,14.7,59.6,51,35.3,35.7,48.8,"19.704052,-155.069724"
Honolulu Community College,Honolulu,HI,6270,63.4,38.9,10.4,60.3,46.8,37.5,40,21.7,"21.320518,-157.873892"
Kapiolani Community College,Honolulu,HI,12669,67.3,35.9,9.5,55.5,59.3,46.9,31.1,16.6,"21.270702,-157.800778"
Kauai Community College,Lihue,HI,1746,60.4,36.4,12.8,60.8,53.3,36.7,42,37.8,"21.968793,-159.397298"
Leeward Community College,Pearl City,HI,10939,60.1,31,14.3,64.4,58.2,37.9,28,24.7,"21.392672,-157.983767"
University of Hawaii Maui College,Kahului,HI,5948,62.9,45.8,11.3,55.2,59.3,41.9,31.8,45.7,"20.890638,-156.478196"
Windward Community College,Kaneohe,HI,3798,65.8,38.3,12.5,58.9,52,39.3,22.7,38.6,"21.407887,-157.812338"
Des Moines Area Community College,Ankeny,IA,38624,62.6,29.8,13.9,64,48.6,49.3,28.4,42.1,"41.708182,-93.600747"
Eastern Iowa Community College District,Davenport,IA,14504,65.9,34.9,17,55.7,49.9,47.6,30.6,47.5,"41.521662,-90.577823"
Ellsworth Community College,Iowa Falls,IA,1269,29.5,17.3,18.9,90.5,44.9,64.8,44.7,43.6,"42.527182,-93.267793"
Hawkeye Community College,Waterloo,IA,9529,54.7,24.4,11.2,58.9,44.9,41.1,28.9,40.6,"42.489959,-92.347573"
Indian Hills Community College,Ottumwa,IA,7440,38.7,33.1,5.3,93.1,46.3,48.1,50.9,60.2,"41.043636,-92.392471"
Iowa Central Community College,Fort Dodge,IA,8813,44.6,22.2,14.3,93.1,53.1,36.9,38.3,32.5,"42.490351,-94.20402"
Iowa Lakes Community College,Estherville,IA,4472,46.4,25.9,3.9,90.6,55.9,40.4,43.1,35.5,"43.397533,-94.817721"
Iowa Western Community College,Council Bluffs,IA,9725,43.3,25.3,13.6,89.3,46.7,47.4,30.1,52.8,"41.272829,-95.801108"
Kirkwood Community College,Cedar Rapids,IA,21621,48.2,31.7,5.5,83.9,49,52.7,39.4,37.6,"41.915216,-91.654209"
Marshalltown Community College,Marshalltown,IA,2971,45.9,28.9,13.5,79.4,49.8,49.6,41.3,42.6,"42.000617,-92.908858"
North Iowa Area Community College,Mason City,IA,4655,46.6,26.1,7.5,91.2,53.9,65.3,49.7,40.9,"43.157413,-93.131547"
Northeast Iowa Community College-Calmar,Calmar,IA,7236,56.6,25.8,4.4,82.9,54.3,57.6,37.8,36.9,"43.174498,-91.866677"
Northwest Iowa Community College,Sheldon,IA,2449,53,20.3,3.1,86.8,67.5,73.2,48,29,"43.184779,-95.879523"
Southeastern Community College,West Burlington,IA,4640,46.2,32.9,9.3,79.5,51,44.5,48.3,45,"40.813952,-91.173094"
Southwestern Community College,Creston,IA,2286,50.3,25.6,3.9,91.3,57.9,55.7,44.7,46.3,"41.071249,-94.380661"
Western Iowa Tech Community College,Sioux City,IA,8747,54.6,31.3,13.3,78.6,48.5,39.9,34.1,39.5,"42.483421,-96.34792"
College of Southern Idaho,Twin Falls,ID,13730,65.4,43,14.7,66.6,48.9,32.5,29.5,34.6,"42.579795,-114.473976"
Eastern Idaho Technical College,Idaho Falls,ID,1364,63,59.8,11.3,64.7,49.3,49.7,50.2,64.5,"43.485995,-111.986271"
North Idaho College,Coeur d'Alene,ID,8791,48.7,44,3.3,70.5,51.9,46.8,28.8,47.4,"47.676234,-116.795456"
Black Hawk College,Moline,IL,12232,57.3,38.8,22.1,79.3,53.2,44.9,21.5,36.8,"41.476569,-90.4477"
Carl Sandburg College,Galesburg,IL,4370,52.2,39.5,11.7,68.4,48.6,55.6,34,51.7,"40.981474,-90.407149"
City Colleges of Chicago-Harold Washington College,Chicago,IL,17602,42.8,39.5,61.6,74,43.7,38.1,13.4,51.3,"41.878114,-87.629798"
City Colleges of Chicago-Harry S Truman College,Chicago,IL,20616,67.1,63.9,62.8,63.6,39.6,42,9.2,25.2,"41.878114,-87.629798"
City Colleges of Chicago-Kennedy-King College,Chicago,IL,11009,43.8,54.1,93.5,80,42.7,44,17.1,57.8,"41.778229,-87.643932"
City Colleges of Chicago-Malcolm X College,Chicago,IL,12271,45.9,59,89.2,68.2,38.8,37.3,12.8,43,"41.878114,-87.629798"
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,7967,41.9,49.2,96.6,67.3,36.9,34.8,14.5,53.8,"41.878114,-87.629798"
City Colleges of Chicago-Richard J Daley College,Chicago,IL,14170,59,56.4,89.3,55.5,43.2,31.9,11,35.4,"41.878114,-87.629798"
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,19137,63.2,45.3,63,63.9,53.1,36.8,17.4,34.6,"41.878114,-87.629798"
College of DuPage,Glen Ellyn,IL,46477,63.9,41,23.6,69.8,58.3,48.4,20.3,22.7,"41.842268,-88.073764"
College of Lake County,Grayslake,IL,30902,70,44.5,34.1,59.5,57.6,43.7,21.7,21,"42.354943,-88.014146"
Danville Area Community College,Danville,IL,9877,70.7,45.2,15.3,60.5,51.1,48.9,26.1,36.4,"40.129421,-87.587923"
Elgin Community College,Elgin,IL,18665,65.4,42.9,39.4,69,65,49.2,28.3,41.5,"42.017895,-88.322064"
Harper College,Palatine,IL,27135,59.9,38.7,22.8,65.6,61.3,49.6,26.1,23.7,"42.081351,-88.070558"
Heartland Community College,Normal,IL,10463,53.8,31.7,16.2,73.2,52.1,49.5,33.5,28,"40.535229,-89.014348"
Highland Community College,Freeport,IL,3628,46.6,40.5,11.7,78.4,55.8,53.5,43,46.6,"42.282789,-89.673254"
Illinois Central College,East Peoria,IL,18720,61.6,35.7,16.5,70.4,57.2,43.7,34.3,33.5,"40.70618,-89.524455"
Illinois Eastern Community Colleges-Frontier Community Coll,Fairfield,IL,7496,87.2,48.7,1.4,74.1,40.3,68.1,19,13.7,"38.378937,-88.359768"
Illinois Eastern Community Colleges-Lincoln Trail College,Robinson,IL,1816,55.7,39.9,3.6,86.4,36.3,74.4,36,31.9,"39.00532,-87.739193"
Illinois Eastern Community Colleges-Olney Central College,Olney,IL,2561,51.6,40.8,3.1,88.5,54.4,74.6,57.6,40.6,"38.730881,-88.085315"
Illinois Eastern Community Colleges-Wabash Valley College,Mount Carmel,IL,19684,87.9,75.5,3,85.1,52.4,75.9,19.9,6.8,"38.41088,-87.761417"
Illinois Valley Community College,Oglesby,IL,7360,56.8,33.7,12.3,57.6,61.2,52,36,35.2,"41.30621,-89.100301"
John A Logan College,Carterville,IL,18111,73.6,56.5,7.3,56.3,44.3,51.8,28.2,26.5,"37.74727,-89.090259"
John Wood Community College,Quincy,IL,3792,50.7,36.8,5.8,76.6,54.9,53.2,41,50.4,"39.913222,-91.336077"
Joliet Junior College,Joliet,IL,31902,58.2,37.4,29.5,58.1,50.2,45.6,26.3,27.6,"41.504233,-88.179823"
Kankakee Community College,Kankakee,IL,10096,57.1,46.2,27,70.6,57.7,43.9,22.7,47.1,"41.097367,-87.850628"
Kaskaskia College,Centralia,IL,9592,60.3,32.3,7.6,64.9,53.5,58,33.4,32.5,"38.563872,-89.193844"
Kishwaukee College,Malta,IL,7696,49.9,29.8,31.1,78,50.4,50.5,32.9,37.7,"41.937422,-88.880631"
Lake Land College,Mattoon,IL,24330,62.3,48.3,20.8,78.4,49.6,51.3,27.9,22,"39.416912,-88.38078"
Lewis and Clark Community College,Godfrey,IL,11941,68.5,27.8,10.1,76.2,47.8,42.4,37.2,31.9,"38.951993,-90.195031"
Lincoln Land Community College,Springfield,IL,14177,56.9,40,13.7,66.5,46.6,42.1,28.7,35.3,"39.720451,-89.613294"
McHenry County College,Crystal Lake,IL,11113,66.9,34,17.8,56.5,60.5,54,28.6,21.1,"42.258117,-88.368125"
Moraine Valley Community College,Palos Hills,IL,33209,59.8,35.6,29.7,70.8,57.5,47.5,27,24.2,"41.69277,-87.837593"
Morton College,Cicero,IL,8395,69.2,38.9,79.1,51.2,61,39.9,26.1,43.7,"41.822985,-87.762965"
Oakton Community College,Des Plaines,IL,25928,71.2,42.8,14,57.8,59.3,52.3,14.8,20.1,"42.061564,-87.880709"
Parkland College,Champaign,IL,24014,63.4,32.4,16.8,55,48.4,54.8,23.3,34.7,"40.131992,-88.288561"
Prairie State College,Chicago Heights,IL,9154,60.9,46.6,65.8,68.9,44.4,46,18.4,42.6,"41.523624,-87.638244"
Rend Lake College,Ina,IL,14469,63.8,47.1,7.1,73.5,48.1,70,52.8,26.3,"38.130843,-88.919048"
Richland Community College,Decatur,IL,7994,68,44.4,18.3,45.2,43.1,44.9,41.7,38.7,"39.884187,-88.895745"
Rock Valley College,Rockford,IL,15540,55.6,39.5,26.1,63.8,59,46,32.2,33,"42.308038,-88.995845"
Sauk Valley Community College,Dixon,IL,4298,55.4,36,11.2,69.4,54.2,54.7,30.1,41.3,"41.818384,-89.598084"
Shawnee Community College,Ullin,IL,7080,59.7,46.5,16.2,49,43.1,55.9,31.1,45.6,"37.270476,-89.033353"
South Suburban College,South Holland,IL,15211,65.7,44.4,74.8,49.1,36.1,62.8,15.4,69.3,"41.606401,-87.61896"
Southeastern Illinois College,Harrisburg,IL,5534,64.7,34.9,7,66.7,36.2,59.8,29.9,41.8,"37.751458,-88.436522"
Southwestern Illinois College,Belleville,IL,23937,58.7,43.1,26.2,69.2,55.5,43.3,29.6,47.7,"38.517524,-89.92321"
Spoon River College,Canton,IL,4224,55.7,33.7,7.7,78.6,51.5,57.9,38.1,35,"40.527696,-90.072269"
Triton College,River Grove,IL,24366,70.7,47.8,50.7,56.2,49,42.6,21.5,26.4,"41.915598,-87.843925"
Waubonsee Community College,Sugar Grove,IL,19058,65.5,43.3,40,64.6,59,46.5,24.1,30.8,"41.795298,-88.458465"
Ivy Tech Community College-Bloominton,Bloomington,IN,175313,53.3,42.5,17.2,71.6,48.1,33.4,22.1,55.8,"39.16674,-86.596928"
Ivy Tech Community College-Central Indiana,Indianapolis,IN,175313,64.4,52.3,17.2,48.3,49.4,28.2,25.3,55.8,"39.805272,-86.159199"
Ivy Tech Community College-Columbus,Columbus,IN,175313,66.3,41.9,17.2,61.6,50.1,23.3,24.8,55.8,"39.249998,-85.902726"
Ivy Tech Community College-East Central,Muncie,IN,175313,49.5,49.7,17.2,71.1,47.2,23.9,21.4,55.8,"40.193864,-85.378207"
Ivy Tech Community College-Kokomo,Kokomo,IN,175313,58.2,61,17.2,55,51.6,23,27.6,55.8,"40.504792,-86.106805"
Ivy Tech Community College-Lafayette,Lafayette,IN,175313,49.9,41.8,17.2,73.1,50.2,26.7,26.1,55.8,"40.383717,-86.839834"
Ivy Tech Community College-Northcentral,South Bend,IN,175313,66.4,60,17.2,49.3,48.6,25.7,22.9,55.8,"41.676355,-86.25199"
Ivy Tech Community College-Northeast,Fort Wayne,IN,175313,58.2,52.4,17.2,60.4,48.8,23.7,21.6,55.8,"41.112245,-85.112235"
Ivy Tech Community College-Northwest,Gary,IN,175313,60.4,55.9,17.2,56.3,47.8,29.4,19.3,55.8,"41.555406,-87.320559"
Ivy Tech Community College-Richmond,Richmond,IN,175313,63.3,59.7,17.2,52.4,52,29.9,27.3,55.8,"39.871005,-84.880655"
Ivy Tech Community College-South Central,Sellersburg,IN,175313,63.4,55.7,17.2,52.9,56.9,29.7,33.2,55.8,"38.398122,-85.754964"
Ivy Tech Community College-Southeast,Madison,IN,175313,54.7,50,17.2,63.6,54.6,31.1,27,55.8,"40.062505,-85.680163"
Ivy Tech Community College-Southwest,Evansville,IN,175313,59.9,55.4,17.2,59.6,51,26.6,27,55.8,"38.011698,-87.573003"
Ivy Tech Community College-Wabash Valley,Terre Haute,IN,175313,54.8,49,17.2,71.5,49.8,21,25.3,55.8,"39.466703,-87.413909"
Vincennes University,Vincennes,IN,23901,60.9,18.8,12.7,71.1,45.7,34,28.1,25.9,"38.688384,-87.521038"
Allen County Community College,Iola,KS,5019,52.8,28.2,6.5,60.9,42.1,57.7,25.7,53.3,"37.92448,-95.399981"
Barton County Community College,Great Bend,KS,15188,68.5,44.3,22.9,34.7,38,43.1,28.1,17.5,"38.364457,-98.764807"
Butler Community College,El Dorado,KS,14500,54.8,33.8,18.9,73.5,55.3,51.6,31.7,60.7,"37.806374,-96.882829"
Cloud County Community College,Concordia,KS,4612,60,27,16.3,89,45.7,57.7,28.9,29.6,"39.554395,-97.664984"
Coffeyville Community College,Coffeyville,KS,2750,40.7,34.1,21.6,93.6,57.2,59.1,36.8,43.6,"37.033043,-95.620763"
Colby Community College,Colby,KS,1923,49.5,26.6,8.6,91.1,65.4,59.7,53.6,28.6,"39.377779,-101.051466"
Cowley County Community College,Arkansas City,KS,6070,45.7,39.5,18.5,78,46.9,55.3,34.7,46.2,"37.060902,-97.042451"
Dodge City Community College,Dodge City,KS,2880,46.4,28.4,41.2,84,46.3,31.8,28.8,36.7,"37.778238,-100.033156"
Flint Hills Technical College,Emporia,KS,1070,39.7,30.7,23.6,61.9,49.7,79.6,67.8,61.6,"38.419082,-96.224034"
Fort Scott Community College,Fort Scott,KS,3226,47.9,24.8,11.2,73.2,52.5,55.9,36.4,45.2,"37.816717,-94.715799"
Garden City Community College,Garden City,KS,2878,48.4,24.6,36.5,88.3,53.5,65.8,38.3,34.5,"37.970798,-100.849507"
Highland Community College,Highland,KS,5406,60.7,26.3,11.5,64.3,41.5,56,25.1,30.3,"39.859994,-95.271471"
Hutchinson Community College,Hutchinson,KS,9488,52.5,37.1,14,83.3,58.7,61.3,36.3,16.6,"38.066681,-97.919757"
Independence Community College,Independence,KS,1998,43.6,27.7,15.9,90.5,39.5,63,22.7,41.7,"37.194712,-95.719315"
Johnson County Community College,Overland Park,KS,31764,66.6,37.1,13,62.7,53.5,44,23.6,21.5,"38.923939,-94.730303"
Kansas City Kansas Community College,Kansas City,KS,11047,61.6,54.9,38,62.1,45.8,22.8,28.8,44.8,"39.12425,-94.747158"
Labette Community College,Parsons,KS,2996,61.2,40.5,10.9,81.6,52.8,39.4,30.7,31.6,"37.339245,-95.255531"
Manhattan Area Technical College,Manhattan,KS,1182,41,45.8,12.8,67.9,55.3,50.9,53.9,48,"39.197331,-96.616368"
Neosho County Community College,Chanute,KS,4075,63.5,33.8,10.5,72.4,47.8,49.3,39.4,31,"37.66737,-95.463184"
North Central Kansas Technical College,Beloit,KS,1180,33.5,28.9,7.3,95.9,69,80.7,54.9,51.9,"37.706865,-97.311156"
Northwest Kansas Technical College,Goodland,KS,610,23.5,23.2,16.4,100,76.2,81.4,64.5,46.6,"39.346341,-101.700919"
Pratt Community College,Pratt,KS,2417,51.2,32.4,14.9,93.8,58.1,60,50.5,38.8,"37.654985,-98.714287"
Salina Area Technical College,Salina,KS,1206,39.1,31.3,9,76.1,68.9,75.4,39.8,37.1,"38.793821,-97.636835"
Seward County Community College and Area Technical School,Liberal,KS,2670,55,31.2,37.2,89.4,60,55.1,42.8,26.6,"37.059744,-100.918709"
Wichita Area Technical College,Wichita,KS,4082,53.4,62.9,28.6,48.2,63.7,59.5,24.3,56,"37.757522,-97.224072"
Ashland Community and Technical College,Ashland,KY,6393,54.5,38.1,2.6,84.4,55.1,32.6,35.3,41.3,"38.469202,-82.649809"
Big Sandy Community and Technical College,Prestonsburg,KY,7701,55.7,37.4,1.7,84.9,57.5,23.5,24.8,42.9,"37.688163,-82.778796"
Bluegrass Community and Technical College,Lexington,KY,19205,52.6,44.2,16.7,65.3,54.9,35,29.2,49.7,"38.024786,-84.503692"
Bowling Green Technical College,Bowling Green,KY,7800,70.8,55.9,12.6,56.2,56.4,48.1,32,38.7,"36.984287,-86.478038"
Elizabethtown Community and Technical College,Elizabethtown,KY,11174,53.8,55.1,12.4,66.3,55.1,39.8,33.2,53.3,"37.693221,-85.880604"
Gateway Community and Technical College,Florence,KY,7308,66.4,54.6,12.6,45.8,59.6,41.3,27.1,52.8,"38.960845,-84.632998"
Hazard Community and Technical College,Hazard,KY,5813,58.8,43.8,1.9,88.4,63,32.9,40.1,41.3,"37.234696,-83.175954"
Henderson Community College,Henderson,KY,2944,68.6,51.6,9.7,67.6,49.7,33.3,26.2,46.2,"37.796729,-87.651331"
Hopkinsville Community College,Hopkinsville,KY,6070,55.4,51.7,33.7,52.6,48.3,29.9,37.2,61.2,"36.882526,-87.488047"
Jefferson Community and Technical College,Louisville,KY,21190,65.2,43.2,28.2,51.8,51.6,28.6,24.8,45.2,"38.246911,-85.754167"
Madisonville Community College,Madisonville,KY,6417,65.1,51.8,7.2,73.6,59.8,47.2,45.5,36.1,"37.364346,-87.513056"
Maysville Community and Technical College,Maysville,KY,6708,61.7,39.6,4.2,80.1,58.4,42.8,22,48.6,"38.626568,-83.806584"
Owensboro Community and Technical College,Owensboro,KY,9500,70.8,30.7,5.4,78.4,58.4,36.8,38.1,33.1,"37.715124,-87.082932"
Somerset Community College,Somerset,KY,12978,55.3,45.7,2.6,74.3,60,35.4,27.1,56.2,"37.060261,-84.615708"
Southeast Kentucky Community and Technical College,Cumberland,KY,7178,62.7,46.7,2.9,77.7,50.5,41.1,40.5,37.3,"36.966103,-82.99782"
West Kentucky Community and Technical College,Paducah,KY,10291,64.9,42.5,9.3,70.4,61.8,48,32.6,37,"37.055187,-88.659759"
Acadiana Technical College-Lafayette Campus,Lafayette,LA,5503,48.4,33.9,43.9,72.4,55.7,46.2,44.3,53.8,"30.22409,-92.019843"
Baton Rouge Community College,Baton Rouge,LA,12364,47.5,32.3,29.7,69.7,44.9,4.4,16.6,35.6,"30.448112,-91.134089"
Bossier Parish Community College,Bossier City,LA,10526,38.7,36.9,40.5,82.8,47.6,12,28.9,47.1,"32.539551,-93.645963"
Capital Area Technical College-Baton Rouge Campus,Baton Rouge,LA,5659,69.8,34.7,62.3,75.7,57.3,43.9,34.8,39.4,"30.458283,-91.14032"
Central Louisiana Technical College-Alexandria Campus,Alexandria,LA,3735,49.1,49.7,43.2,72.3,51.6,45,29.1,40.9,"31.311294,-92.445137"
Delgado Community College,New Orleans,LA,28347,52,47.6,50.6,69.9,51.6,17.3,19.2,57,"29.986275,-90.104239"
L E Fletcher Technical Community College,Houma,LA,4691,52.1,30.1,30.7,81.9,54,36.7,28.4,38.5,"29.598573,-90.741491"
Louisiana Delta Community College-Monroe Campus,Monroe,LA,3849,46.1,30.4,46.5,73.4,42.1,19.2,17,46.1,"32.509311,-92.119301"
Louisiana State University Eunice,Eunice,LA,3928,50.6,27.3,30.4,78.5,47.3,48.4,29.9,43.2,"30.474628,-92.434711"
Northeast Louisiana Technical College,West Monroe,LA,2105,49.6,53.6,43.8,57.3,67.7,66,33.7,61.1,"32.52667,-92.137985"
Northshore Technical Community College,Bogalusa,LA,4569,72.6,30.9,35,54.4,59.1,52.2,29.4,35.1,"30.759548,-89.845215"
Northwest Louisiana Technical College,Minden,LA,4780,60.7,45.6,50,63.9,56.2,52.9,36.8,42.4,"32.586658,-93.263001"
Nunez Community College,Chalmette,LA,3522,60.7,33.5,45.7,63.6,46.8,28.4,32,61.9,"29.954656,-89.960764"
River Parishes Community College,Sorrento,LA,3981,61.1,31.8,40.1,63.9,45.7,18.3,28.3,32.4,"30.175874,-90.874858"
