Institution Name,City,State,Size: Annual Unduplicated Headcount,Percent Part-Time,Percent Non-Traditional Age (25 and Older),Percent Minority,Percent of First-Time Undergrads who are Full-Time,First-Year Retention Rate,Three-Year Graduation Rate,Credentials Awarded per 100 FTE Students,"Percent of Undergrads Receiving Pell, 2011-12","latitude,longitude"
University of Arkansas Community College-Hope,Hope,AR,1896,44.2,45.3,39,68.5,51.2,39.3,45.4,31.3,"33.641457,-93.596199"
University of Arkansas Community College-Morrilton,Morrilton,AR,3072,35.3,39.1,15.9,78.8,48,40.1,47.3,60.1,"35.171958,-92.729512"
Arizona Western College,Yuma,AZ,12813,66.7,34.9,60.7,40.6,49.4,31.7,30.8,58,"32.689592,-114.495134"
Central Arizona College,Coolidge,AZ,14408,69.2,45.6,40.6,40,42.4,33.4,27,45.7,"32.955744,-111.652658"
Chandler/Gilbert Community College,Chandler,AZ,19611,68.5,25.4,25.5,60.2,53.4,44.6,30.6,24.6,"33.295488,-111.789772"
Cochise College,Douglas,AZ,15290,66.3,48.4,36.1,51.4,44.3,47.9,32.4,33.5,"31.371111,-109.68972"
Coconino Community College,Flagstaff,AZ,6829,72.7,36.2,33.5,38.6,30,53.5,22.1,27.8,"35.171313,-111.64563"
Eastern Arizona College,Thatcher,AZ,9963,69.2,54.1,30.9,46.4,48.7,34.2,21.1,21.7,"32.845121,-109.76214"
Estrella Mountain Community College,Avondale,AZ,12508,70,36.3,51.9,50.7,48.6,42.1,35.5,45.8,"33.480405,-112.343463"
GateWay Community College,Phoenix,AZ,11674,79.8,61.7,43.1,33.3,41.1,48.1,37.8,33.8,"33.449687,-111.995497"
Glendale Community College,Glendale,AZ,32854,64.9,34.3,37,59.9,51.2,37.6,31,38.4,"33.570211,-112.190108"
Mesa Community College,Mesa,AZ,40070,65.7,40.7,30.1,54.8,49.2,33.6,33.1,39.4,"33.391072,-111.871868"
Mohave Community College,Kingman,AZ,9240,72.1,51.9,19.5,25.3,40.9,17.9,29.3,51,"35.270456,-114.030075"
Northland Pioneer College,Holbrook,AZ,7496,77.5,38.6,38.1,28.5,32.5,14.9,16,32.1,"34.929712,-110.141115"
Paradise Valley Community College,Phoenix,AZ,15246,69.3,39,18.8,58,55.8,47.1,33.7,25.8,"33.651359,-112.010376"
Phoenix College,Phoenix,AZ,19525,72.2,52,52.5,42.8,47.1,38.6,34.3,47,"33.482515,-112.087878"
Pima Community College,Tucson,AZ,53250,62.9,43.8,41.1,50.7,49,21.8,31.3,35.8,"32.222063,-110.88673"
Rio Salado College,Tempe,AZ,56031,84.5,52.8,30.7,23.8,24.3,50.6,10.3,29.1,"33.412645,-111.974169"
Scottsdale Community College,Scottsdale,AZ,17474,68.2,37.2,21.1,62.7,53.2,45.7,40.6,22.3,"33.512618,-111.882486"
South Mountain Community College,Phoenix,AZ,8027,68.8,43.5,60.6,56.4,44.9,39.4,37.9,49.9,"33.382744,-112.03444"
Tohono O'Odham Community College,Sells,AZ,449,84.4,59.7,92.2,53.3,28.9,23.1,15.7,43.7,"31.9905808,-111.7156089"
Yavapai College,Prescott,AZ,11811,77,55.1,12.7,43.6,40.7,53.6,25.1,31.2,"34.545348,-112.456914"
Allan Hancock College,Santa Maria,CA,17470,68.6,38.7,47.6,51.6,49.6,39.1,33.9,23.4,"34.943581,-120.420498"
American River College,Sacramento,CA,47974,75.9,53.5,27.2,31,43.4,34.7,25.3,29.3,"38.65099,-121.348804"
Antelope Valley College,Lancaster,CA,17899,65.5,38.5,55.9,46.1,50.5,44.3,21.2,50.2,"34.677273,-118.186505"
Bakersfield College,Bakersfield,CA,24675,72.1,36.3,61.7,41.6,57,32.9,16.8,45.2,"35.407954,-118.971786"
Barstow Community College,Barstow,CA,5076,60.7,44.1,51.6,48.7,32.8,38.6,26.5,56.2,"34.871172,-117.024974"
Berkeley City College,Berkeley,CA,11131,82.9,42.2,37.8,26.5,30.4,41,5.8,17.9,"37.869786,-122.269737"
Butte College,Oroville,CA,16587,53.1,33.9,19.7,59,53.7,39.3,27.4,52.4,"39.648249,-121.645734"
Cabrillo College,Aptos,CA,19267,66.9,45,34.4,53.1,56.9,43.1,27,24.6,"36.989617,-121.926376"
Canada College,Redwood City,CA,10671,80.3,52.3,46.3,38.5,40.6,34.7,14.4,16.7,"37.447442,-122.265344"
Cerritos College,Norwalk,CA,27724,66.9,33.9,64.3,38.6,52.3,38,18,45.3,"33.885506,-118.09456"
Cerro Coso Community College,Ridgecrest,CA,10234,81.4,56.6,35.2,36.2,33.2,34.8,15.7,17.2,"35.56763,-117.670417"
Chabot College,Hayward,CA,19023,70.6,39.9,47.1,30.6,52.5,38.7,16.4,26.6,"37.642469,-122.106577"
Chaffey College,Rancho Cucamonga,CA,23170,65.9,32.3,62.9,32.5,57.1,34.9,25.4,40.3,"34.146998,-117.570915"
Citrus College,Glendora,CA,16130,63.3,24.6,60.3,42.3,53.6,37.8,28.5,32.8,"34.135596,-117.884838"
City College of San Francisco,San Francisco,CA,48279,69.3,53.9,30.1,39.8,54.5,42,12.4,26.1,"37.725863,-122.451139"
Coastline Community College,Fountain Valley,CA,17846,86.1,64.8,29.6,17.1,22.3,36,66.1,14.8,"33.715611,-117.92922"
College of Alameda,Alameda,CA,11043,84.9,40.5,38.1,22.9,30.8,27.1,13.6,20.4,"37.780721,-122.279205"
College of Marin,Kentfield,CA,10299,80.9,58,20.7,26.7,39,44.1,11,25.1,"37.955569,-122.549649"
College of San Mateo,San Mateo,CA,15410,74.5,43.9,28.9,42.7,45.4,41,14.6,14.6,"37.535106,-122.335093"
College of the Canyons,Santa Clarita,CA,27534,63.2,26.4,44.9,46.7,53.6,43,19.9,19.5,"34.404529,-118.568065"
College of the Desert,Palm Desert,CA,11801,61.1,34.9,63.6,47.9,55.9,33.2,19.4,45.4,"33.732401,-116.38896"
College of the Redwoods,Eureka,CA,8614,64.4,49.5,23,60.3,44.9,26.4,24.2,44.1,"40.698314,-124.19531"
College of the Sequoias,Visalia,CA,14714,53.8,32,58.6,62.2,49.7,30.8,23.6,45.9,"36.325119,-119.317481"
College of the Siskiyous,Weed,CA,3951,56.4,49.4,17.6,64.8,36,56.4,22.9,41.8,"41.412319,-122.389586"
Columbia College,Sonora,CA,4151,70.2,43.3,15.1,44.7,35.9,36.4,22.7,26.2,"38.031811,-120.389847"
Contra Costa College,San Pablo,CA,11887,69.8,43.5,57.7,40.3,47.9,34.5,22.6,31.8,"37.968064,-122.340582"
Copper Mountain Community College,Joshua Tree,CA,2594,58.6,49.4,29.8,50.9,36.9,22.5,24.7,57.1,"34.134728,-116.313066"
Cosumnes River College,Sacramento,CA,21358,75.6,40.1,34.1,29.3,47.4,30.8,14.6,24.9,"38.451698,-121.423924"
Crafton Hills College,Yucaipa,CA,7418,64.4,30.1,41.6,42.5,52,34.6,20.4,20.2,"34.038649,-117.100396"
Cuesta College,San Luis Obispo,CA,15178,57.8,31.5,27.5,64.2,47.9,52.5,23.8,16.8,"35.329712,-120.740633"
Cuyamaca College,El Cajon,CA,13109,77.6,41.7,34.5,32.2,51.1,35,19.8,29,"32.744186,-116.942316"
Cypress College,Cypress,CA,19873,70,31.4,40.6,27.1,55.7,45.3,18.4,22.8,"33.828118,-118.026057"
De Anza College,Cupertino,CA,37760,57,36.3,23.7,62.8,56.4,72.6,15,14.8,"37.319762,-122.046439"
Diablo Valley College,Pleasant Hill,CA,30501,64.6,34.1,25.2,46.8,55.2,52.5,9.8,13.4,"37.969472,-122.069993"
East Los Angeles College,Monterey Park,CA,56395,78.3,47.1,68,28.4,51.7,31.7,17.3,28.9,"34.041668,-118.151034"
El Camino College-Compton Center,Compton,CA,14579,76.5,42.4,81.3,32.3,31.5,25,8.7,27.2,"33.874415,-118.208851"
El Camino Community College District,Torrance,CA,33030,69.5,32.6,59.6,44.7,53.5,34.4,20.7,24.8,"33.88707,-118.333738"
Evergreen Valley College,San Jose,CA,16726,71.6,41.2,37.4,36.2,47,37.2,15.1,31.5,"37.300384,-121.764424"
Feather River Community College District,Quincy,CA,3082,51.2,44.3,32.4,67.8,30.2,57.4,29.7,34.2,"39.936836,-120.947176"
Folsom Lake College,Folsom,CA,12442,74.8,40.6,16.9,31,45.6,35.9,29.5,18.7,"38.661791,-121.126864"
Foothill College,Los Altos Hills,CA,27084,67.1,49.1,21.7,50.1,46.8,66.6,14,9.2,"37.360308,-122.126705"
Fresno City College,Fresno,CA,27946,67,35.3,53.4,46.1,47.6,27.4,17.1,39.5,"36.768592,-119.795866"
Fullerton College,Fullerton,CA,26236,76.1,24.1,44.9,26.9,62.6,43.4,19.9,23.5,"33.875251,-117.917577"
Gavilan College,Gilroy,CA,10795,72.7,54.3,46.1,30.4,34.8,29.5,18.1,23.5,"36.97229,-121.567683"
Glendale Community College,Glendale,CA,21486,64.6,41.1,26.8,44.3,45.5,46.5,9.5,39.2,"34.166393,-118.228379"
Golden West College,Huntington Beach,CA,18155,64.2,32.9,28.4,51.9,51.4,44.1,22.1,25.8,"33.7361,-118.00031"
Grossmont College,El Cajon,CA,25714,65.1,34.2,35.2,43.7,50.5,43,21.6,23.5,"32.816676,-117.00658"
